Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2026-I,Medicina,47,"Recientemente usted fue asignado a un C.S. y quiere conocer cómo se transmite una enfermedad de una persona a otra o de un reservorio no humano a una población humana, además de las razones por las que los comportamientos de riesgo causan enfermedades. ¿En qué se basa para realizar este estudio?",Tanatología,Estadística,Salud pública,Epidemiología,D,Epidemiología
2026-I,Medicina,48,"Adolescente de 13 años, con 38 semanas de gestación, procedente de los andes, sin control, indica que relaciones sexuales han sido voluntarias con ex pareja de 35 años, viene acompañada por la madre al establecimiento I-3 ¿Cuál es la conducta a seguir?","Aplicar kits completos de emergencia para descarte de ITS, VIH, Hepatitis B","Comunicar a las autoridades, activar código violeta y referencia hospitalaria",Brindar actividades socio educativas a fin de que paciente identifique riesgos,Responsabilizar a sus progenitores por negligencia hacia la paciente,B,"Comunicar a las autoridades, activar código violeta y referencia hospitalaria"
2026-I,Medicina,49,"El jefe del puesto de salud acudió a la reunión convocada por el municipio para empadronamiento y evaluación sanitaria de los drogadictos que pernoctan a las afueras de la ciudad y que han ido en aumento. Este hábito negativo para la salud, está dentro del grupo de determinantes:",Biológicos,Genéticos,Ambientales,Asistenciales,C,Ambientales
2026-I,Medicina,50,"La inducción inicial, así como los cursos recibidos durante su SERUMS en el marco del ""desarrollo y capacitación de recursos humanos"" organizada por la Gerencia Regional de Salud. ¿A qué aspecto de la salud pública corresponde?",Función esencial,Desarrollo de políticas,Transición epidemiológica,Rendimiento de personal,A,Función esencial
2026-I,Medicina,51,"Conjunto de actividades periódicas y sistemáticas realizadas por el profesional de la salud de enfermería y/o médico, con el objetivo de vigilar de manera adecuada, oportuna e individual, a fin de detectar de forma precoz los riesgos, las deficiencias y discapacidades e incremento de las oportunidades y factores protectores. Es individual, integral, oportuno, periódico y secuencial. ¿Cómo se denomina a estas actividades?",Control de signos de alarma del niño y niña,Control de crecimiento y desarrollo del niño y niña,Control parcial de crecimiento del niño y niña,Evaluación global del niño y niña,B,Control de crecimiento y desarrollo del niño y niña
2026-I,Medicina,52,"Si la interacción entre un paciente y el personal sanitario tratante, se da mediante uso de las TICs, ¿Qué concepto de salud se está aplicando?",Cuidado integral,Salud intercultural,Promoviendo salud,Telesalud,D,Telesalud
2026-I,Medicina,53,"Mujer no gestante de 30 años, que se atiende en un establecimiento de salud I-2 a 3200 msnm; presenta hemoglobina de 11.9 g por hemoglobinómetro. ¿Cuál es el tipo de anemia y la conducta a seguir?",Leve e inicia tratamiento farmacológico,Moderada e inicia tratamiento farmacológico,Leve y solicita ferritina en el C.S. más cercano,Severa y refiere para manejo en siguiente nivel,B,Moderada e inicia tratamiento farmacológico
2026-I,Medicina,54,"Como parte del cuidado integral del niño de 2 años y 3 meses de edad, corresponde realizar la vigilancia del neurodesarrollo. ¿Qué test se aplica considerando la edad del paciente?",Escala de salud del paciente,Lista de verificación de síntomas pediátricos,Lista de habilidades y conductas esperadas por edad,Huanca test,D,Huanca test
2026-I,Medicina,55,"Los pobladores de una comunidad ashaninka llegan al centro de salud preocupados debido a que sus niños presentan dolor y diarrea con mucha frecuencia. Además, refieren que tomaron preparados de hierbas y posteriormente algunos fallecieron. ¿Cuál es la función de salud pública que debe fortalecer el personal de salud?",Vigilancia y valoración del estado de salud,Valoración clínica y laboratorio,Vigilancia y valoración por el laboratorio,Valoración del estado de salud,A,Vigilancia y valoración del estado de salud
2026-I,Medicina,56,"Lactante de 4 meses con SIS, procedente de otra jurisdicción, acude al establecimiento de salud para su control e inicio de tratamiento preventivo de anemia. ¿Cuál es el procedimiento que se debe realizar para respetar su derecho al acceso a la salud?",Solicitar su referencia del lugar de procedencia,Referir al hospital de mayor complejidad,Apertura de la HC y brindar la atención requerida,Enviarle al SIS central para su inscripción,C,Apertura de la HC y brindar la atención requerida
2026-I,Medicina,57,"Adela es una adulta mayor viviendo con diabetes mellitus, la cual tiene dificultad para movilizarse. Refiere que vive con su hija que trabaja todo el día y no puede acompañarla siempre al establecimiento de salud. Está estable, pero necesita su medicación de manera oportuna. ¿Qué tipo de intervención de Telesalud requiere?",Teleorientación,Telecapacitación,Telemonitoreo,Teleconsulta,C,Telemonitoreo
2026-I,Medicina,58,"El modelo actual de salud en el Perú busca mejorar su calidad, atender a toda persona bajo su contexto cultural, comunitario y familiar, brindando un amplio rango de servicios. ¿Cuál es el atributo de la APS aplicado para este fin?",Coordinación de la atención,Accesibilidad del primer contacto,Participación activa,Integralidad de los servicios,D,Integralidad de los servicios
2026-I,Medicina,59,"Varón de 36 años viviendo con VIH, percibe que el profesional médico en consulta lo atiende con una gran indiferencia y poca comunicación. Para que él usuario no se sienta afectado se debe ...",aceptar la condición del paciente.,indicar donde debe tomar asiento.,disimular el rechazo al paciente.,brindar un trato digno y humanizado.,D,brindar un trato digno y humanizado.
2026-I,Medicina,60,"Gestante migrante quechua hablante, que acude para atención a su establecimiento de salud tiene derecho a ...",servicios de salud con adecuación cultural.,presencia solo de pareja.,acompañamiento de familia.,traductor de idioma original.,A,servicios de salud con adecuación cultural.
2026-I,Medicina,61,"Durante la atención integral de la gestante, los controles prenatales buscan detectar riesgos para eliminarlos o minimizarlos. ¿Qué tipo de prevención es?",Cuaternaria,Primaria,Secundaria,Terciaria,B,Primaria
2026-I,Medicina,62,El responsable de la RIS desea saber la cantidad de atenciones realizadas por el médico serumista en consulta externa. ¿Qué indicador de gestión debe utilizar?,Rendimiento,Concentración,Productividad,Permanencia,C,Productividad
2026-I,Medicina,63,Varón de 35 años acude al establecimiento de salud para evaluación médica. Durante la consulta refiere que presenta tos y flema desde hace 15 días. Según la Norma Técnica de Salud para la prevención y control de tuberculosis. ¿Cómo se denomina a un paciente con este cuadro clínico?,Sintomático respiratorio examinado,Paciente con infección latente,Sintomático respiratorio,Paciente con tuberculosis sensible,C,Sintomático respiratorio
2026-I,Medicina,64,En un establecimiento de salud I-4 el médico jefe debe elaborar el ...... que es una herramienta de gestión que considera las actividades para la implementación del plan operativo institucional.,cuadro multianual de necesidades,plan de abastecimiento e inversiones,plan estratégico institucional,plan de salud local,D,plan de salud local
2026-I,Medicina,65,"El enfoque intercultural implica que el Estado valore e incorpore las diferentes visiones de los grupos étnicos y culturales para la generación de los servicios con pertinencia cultural, promoviendo el reconocimiento de la ciudadanía intercultural basada en el diálogo y la atención diferenciada. Este enfoque debería ser diferenciado de manera especial en la población:",Aymara e indígena,Latina y europea,En general,Indígena y afroperuana,D,Indígena y afroperuana
2026-I,Medicina,66,Una persona después de haberse vacunado contra el dengue. ¿Cuánto tiempo debe permanecer en el área de reposo?,Una hora,45 minutos,30 minutos,2 horas,C,30 minutos
2026-I,Medicina,67,"Acude a su consulta una paciente mujer de 60 años con resultado de RPR positivo 8 dils, asintomática, cuya única pareja sexual es su esposo. ¿Cuál sería el esquema a seguir?",Penicilina benzatínica 2 400 000 UI 1 ampolla IM c/semana por 3 semanas,Bencilpenicilina sódica 1 000 000 UI 4 ampollas EV c/4 horas por 2 semanas,Doxiciclina 100 mg 1 tableta VO c/12 horas por 2 semanas,Penicilina benzatínica 2 400 000 UI 1 ampolla IM dosis única,A,Penicilina benzatínica 2 400 000 UI 1 ampolla IM c/semana por 3 semanas
2026-I,Medicina,68,¿Con qué se determina el número de la historia clínica de una persona de nacionalidad peruana?,Carnet de extranjería,Documento Nacional de Identidad,Pasaporte,Según número de ingreso,B,Documento Nacional de Identidad
2026-I,Medicina,69,"El equipo multidisciplinario de salud acude a una visita domiciliaria para aplicar el test de PAIFAM. La familia refiere que Roberto, padre de familia de 48 años, está consumiendo alcohol algunos días a la semana, por no conseguir trabajo, por lo que, Ud. como médico aplica el cuestionario de:",Hamilton,Zung,AUDIT C,SRQ,C,AUDIT C
2026-I,Medicina,70,En la comunidad de un PS I-2 se identifica que existe un número elevado de adolescentes entre 13 y 15 años que se encuentran laborando pasteando ganado y pernoctando en el campo y que no han sido matriculados en la escuela. ¿A qué determinantes corresponde esta situación?,Estilo de vida,Ambientales,Intermedios,Estructurales,C,Intermedios
2026-I,Medicina,71,Para realizar un trabajo de investigación y obtener información de las exposiciones anteriores y actuales. ¿Qué tipo de recolección de debe realizar?,Observación familiar,Observación,Entrevista,Informante indirecto,C,Entrevista
2026-I,Medicina,72,"A un establecimiento de salud, llegan 25 niños beneficiarios del programa de alimentación escolar, por presentar cuadro de intoxicación alimentaria, luego del consumir el desayuno escolar. Este tipo de evento debe ser notificado y corresponde a:",Epizootia,Endemia,Brote,Pandemia,C,Brote
2026-I,Medicina,73,Mujer de 28 años con sospecha de TB es atendida en el CS y luego de concluir con la consejería es derivada al servicio de salud mental; esta indicación se tomó debido a que el tamizaje salió...,negativo.,positivo.,con riesgo bajo.,con riesgo alto.,B,positivo.
2026-I,Medicina,74,"Acude a la consulta externa, de un centro de salud I-3, una persona adulta mayor de 75 años acompañada con hija, la cual refiere que acude para iniciar chequeos por su edad, por lo que Ud. indica la siguiente valoración clínica:",Corta,Complejo,Breve,Completa,A,Corta
2026-I,Medicina,75,"En estudios clínicos y epidemiológicos, la medición de variables que incluyen la perspectiva del paciente con referencia a resultados relacionados a su calidad de vida. ¿Cuáles son los instrumentos de recolección de datos más indicados?",Registro por el paciente y familiar,Entrevistas y cuestionarios,Registros y documentos ya existentes,Observación directa e indirecta,B,Entrevistas y cuestionarios
2026-I,Medicina,76,Ud. es jefe de un establecimiento I-4 en la región norte del país y los boletines informativos de epidemiología indican un aumento de casos de melanomas por exposición a rayos UV en el último año. ¿A qué tipo de casos corresponden?,Reincidentes,Prevalentes,Probables,Incidentes,D,Incidentes
2026-I,Medicina,77,"Jorge de 38 años, acude a la IPRESS puerta de entrada de su zona sanitaria en Piura, con fiebre, cefalea, mialgias y dolor retro ocular de 2 días de evolución, sin factor de riesgo. Médico serumista lo considera como un dengue probable y lo clasifica como grupo ...… para iniciar tratamiento.",A,B2,B1,C,A,A
2026-I,Medicina,78,"Mujer parturienta de 37 años, solicito dar a luz en posición de rodillas ¿Qué ubicación toma usted para proteger el periné en todo momento y evitar desgarre?",arrodillado,Delante o detrás,sentado en un banco,costado izquierdo o derecho,B,Delante o detrás
